Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State
Pub Beer,1436,0.05,18,409,American Pale Lager,12,10 Barrel Brewing Company,Bend, OR
Devil's Cup,2265,0.066,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Rise of the Phoenix,2264,0.071,61,178,American IPA,12,18th Street Brewery,Gary, IN
Sinister,2263,0.09,30,178,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
Sex and Candy,2262,0.075,,178,American IPA,12,18th Street Brewery,Gary, IN
Black Exodus,2261,0.077,,178,Oatmeal Stout,12,18th Street Brewery,Gary, IN
Lake Street Express,2260,0.045,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Foreman,2259,0.065,,178,American Porter,12,18th Street Brewery,Gary, IN
Jade,2258,0.055,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Cone Crusher,2131,0.086,,178,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
Sophomoric Saison,2099,0.072,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
Regional Ring Of Fire,2098,0.073,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
Garce SelÃƒÂ©,2097,0.069,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
Troll Destroyer,1980,0.085,,178,Belgian IPA,12,18th Street Brewery,Gary, IN
Bitter Bitch,1979,0.061,60,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Ginja Ninja,2318,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
Cherried Away,2170,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
Rhubarbarian,2169,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
BrightCider,1502,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
He Said Baltic-Style Porter,1593,0.082,,369,Baltic Porter,12,21st Amendment Brewery,San Francisco, CA
He Said Belgian-Style Tripel,1592,0.082,,369,Tripel,12,21st Amendment Brewery,San Francisco, CA
Lower De Boom,1036,0.099,92,369,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA
Fireside Chat,1024,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
Marooned On Hog Island,976,0.079,,369,American Stout,12,21st Amendment Brewery,San Francisco, CA
Bitter American,876,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat (2009),802,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat (2009),801,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
21st Amendment Watermelon Wheat Beer (2006),800,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
21st Amendment IPA (2006),799,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA (2008),797,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA (2009),796,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Special Edition: Allies Win The War!,531,0.085,52,369,English Strong Ale,12,21st Amendment Brewery,San Francisco, CA
Hop Crisis,432,0.097,94,369,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco, CA
Bitter American (2011),353,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
Fireside Chat (2010),321,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
Back in Black,173,0.068,65,369,American Black Ale,12,21st Amendment Brewery,San Francisco, CA
Monk's Blood,11,0.083,35,369,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA,10,0.07,65,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat,9,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
Bimini Twist,2519,0.07,82,68,American IPA,12,3 Daughters Brewing,St Petersburg, FL
Beach Blonde,2518,0.05,23,68,American Blonde Ale,12,3 Daughters Brewing,St Petersburg, FL
Rod Bender Red,2517,0.059,28,68,American Amber / Red Ale,12,3 Daughters Brewing,St Petersburg, FL
Passion Fruit Prussia,2545,0.035,11,61,Berliner Weissbier,12,4 Hands Brewing Company,Saint Louis, MO
Send Help,2544,0.045,18,61,American Blonde Ale,12,4 Hands Brewing Company,Saint Louis, MO
Cast Iron Oatmeal Brown,2324,0.055,,61,American Brown Ale,12,4 Hands Brewing Company,Saint Louis, MO
Reprise Centennial Red,2288,0.06,38,61,American Amber / Red Ale,12,4 Hands Brewing Company,Saint Louis, MO
Alter Ego,2287,0.055,68,61,American Black Ale,12,4 Hands Brewing Company,Saint Louis, MO
Divided Sky,2286,0.065,,61,American IPA,12,4 Hands Brewing Company,Saint Louis, MO
Resurrected,2285,0.065,,61,American IPA,12,4 Hands Brewing Company,Saint Louis, MO
Contact High,1870,0.05,28,61,American Pale Wheat Ale,12,4 Hands Brewing Company,Saint Louis, MO
Galaxyfest,2603,0.065,38,28,American IPA,16,450 North Brewing Company,Columbus, IN
Citrafest,2602,0.05,45,28,American IPA,16,450 North Brewing Company,Columbus, IN
Barn Yeti,2220,0.09,25,28,Belgian Strong Dark Ale,16,450 North Brewing Company,Columbus, IN
Scarecrow,2219,0.069,65,28,American IPA,16,450 North Brewing Company,Columbus, IN
Ironman,2218,0.09,50,28,English Strong Ale,16,450 North Brewing Company,Columbus, IN
Honey Kolsch,2217,0.046,15,28,Kölsch,16,450 North Brewing Company,Columbus, IN
Copperhead Amber,2216,0.052,18,28,Belgian Dark Ale,16,450 North Brewing Company,Columbus, IN
Rude Parrot IPA,972,0.059,75,482,American IPA,16,7 Seas Brewing Company,Gig Harbor, WA
British Pale Ale (2010),866,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
British Pale Ale,48,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
Ballz Deep Double IPA,47,0.084,82,482,American Double / Imperial IPA,16,7 Seas Brewing Company,Gig Harbor, WA
Wolfman's Berliner,1583,0.038,,374,Berliner Weissbier,12,7venth Sun,Dunedin, FL
Colorado Native,1165,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
Colorado Native (2011),431,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
Jockamo IPA,516,0.065,52,534,American IPA,12,Abita Brewing Company,Abita Springs, LA
Purple Haze,515,0.042,13,534,Fruit / Vegetable Beer,12,Abita Brewing Company,Abita Springs, LA
Abita Amber,514,0.045,17,534,American Amber / Red Lager,12,Abita Brewing Company,Abita Springs, LA
Citra Ass Down,2540,0.082,68,63,American IPA,16,Against The Grain Brewery,Louisville, KY
The Brown Note,2539,0.05,20,63,American Brown Ale,16,Against The Grain Brewery,Louisville, KY
Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
London Balling,2685,0.125,80,2,English Barleywine,16,Against the Grain Brewery,Louisville, KY
35 K,2684,0.077,25,2,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY
A Beer,2683,0.042,42,2,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY
Rules are Rules,2682,0.05,25,2,German Pilsener,16,Against the Grain Brewery,Louisville, KY
Flesh Gourd'n,2681,0.066,21,2,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY
Sho'nuff,2680,0.04,13,2,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY
Bloody Show,2679,0.055,17,2,American Pilsner,16,Against the Grain Brewery,Louisville, KY
Rico Sauvin,2678,0.076,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
Coq de la Marche,2677,0.051,38,2,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY
Kamen Knuddeln,2676,0.065,,2,American Wild Ale,16,Against the Grain Brewery,Louisville, KY
Pile of Face,2675,0.06,65,2,American IPA,16,Against the Grain Brewery,Louisville, KY
The Brown Note,2674,0.05,20,2,English Brown Ale,16,Against the Grain Brewery,Louisville, KY
Maylani's Coconut Stout,1594,0.053,35,368,American Stout,16,Airways Brewing Company,Kent, WA
Oatmeal PSA,1162,0.05,35,368,American Pale Ale (APA),16,Airways Brewing Company,Kent, WA
Pre Flight Pilsner,1137,0.052,33,368,American Pilsner,16,Airways Brewing Company,Kent, WA
P-Town Pilsner,2403,0.04,20,118,American Pilsner,12,Alameda Brewing,Portland, OR
Klickitat Pale Ale,2402,0.053,36,118,American Pale Ale (APA),12,Alameda Brewing,Portland, OR
Yellow Wolf Imperial IPA,2401,0.082,103,118,American Double / Imperial IPA,12,Alameda Brewing,Portland, OR
Freeride APA,1921,0.053,40,271,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau, AK
Alaskan Amber,1920,0.053,18,271,Altbier,12,Alaskan Brewing Company,Juneau, AK
Hopalicious,2501,0.057,52,74,American Pale Ale (APA),12,Ale Asylum,Madison, WI
Kentucky Kölsch,1535,0.043,14,389,Kölsch,16,Alltech's Lexington Brewing Company,Lexington, KY
Kentucky IPA,1149,0.065,45,389,American IPA,16,Alltech's Lexington Brewing Company,Lexington, KY
Dusty Trail Pale Ale,1474,0.054,40,402,American Pale Ale (APA),16,Amnesia Brewing Company,Washougal, WA
Damnesia,1473,0.062,70,402,American IPA,16,Amnesia Brewing Company,Washougal, WA
Desolation IPA,837,0.062,43,402,American IPA,16,Amnesia Brewing Company,Washougal, WA
Liberty Ale,2592,0.059,47,36,American IPA,12,Anchor Brewing Company,San Francisco, CA
IPA,2578,0.065,,36,American IPA,12,Anchor Brewing Company,San Francisco, CA
Summer Wheat,2577,0.045,,36,American Pale Wheat Ale,12,Anchor Brewing Company,San Francisco, CA
California Lager,2103,0.049,19,36,American Amber / Red Lager,12,Anchor Brewing Company,San Francisco, CA
Brotherhood Steam,2102,0.056,,36,California Common / Steam Beer,12,Anchor Brewing Company,San Francisco, CA
Blood Orange Gose,2291,0.042,12,172,Gose,12,Anderson Valley Brewing Company,Boonville, CA
Keebarlin' Pale Ale,1818,0.042,40,172,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA
"the Kimmie, the Yink and the Holy Gose",1738,0.048,12,172,Gose,12,Anderson Valley Brewing Company,Boonville, CA
Fall Hornin',1563,0.06,20,172,Pumpkin Ale,12,Anderson Valley Brewing Company,Boonville, CA
Barney Flats Oatmeal Stout,1520,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
Summer Solstice,1350,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
Hop Ottin' IPA,1327,0.07,80,172,American IPA,12,Anderson Valley Brewing Company,Boonville, CA
Boont Amber Ale,1326,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
Barney Flats Oatmeal Stout,1221,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
El Steinber Dark Lager,1217,0.055,25,172,Vienna Lager,16,Anderson Valley Brewing Company,Boonville, CA
Boont Amber Ale (2010),811,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
Summer Solstice Cerveza Crema (2009),753,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
Barney Flats Oatmeal Stout (2012),572,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
Winter Solstice,523,0.069,6,172,Winter Warmer,12,Anderson Valley Brewing Company,Boonville, CA
Hop Ottin' IPA (2011),367,0.07,80,172,American IPA,12,Anderson Valley Brewing Company,Boonville, CA
Boont Amber Ale (2011),78,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
Summer Solstice (2011),77,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
Poleeko Gold Pale Ale (2009),76,0.055,28,172,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA
Charlie's Rye IPA,2337,0.06,60,147,American IPA,16,Angry Minnow,Hayward, WI
River Pig Pale Ale,410,0.054,35,543,American Pale Ale (APA),16,Angry Minnow Brewing Company,Hayward, WI
Oaky's Oatmeal Stout,409,0.047,30,543,Oatmeal Stout,16,Angry Minnow Brewing Company,Hayward, WI
Angry Orchard Apple Ginger,1294,0.05,,435,Cider,16,Angry Orchard Cider Company,Cincinnati, OH
Angry Orchard Crisp Apple,1293,0.05,10,435,Cider,16,Angry Orchard Cider Company,Cincinnati, OH
Angry Orchard Crisp Apple,1292,0.05,10,435,Cider,12,Angry Orchard Cider Company,Cincinnati, OH
Golden One,2207,0.068,26,194,Belgian Pale Ale,12,Anthem Brewing Company,Oklahoma City, OK
Arjuna,2040,0.06,22,194,Witbier,12,Anthem Brewing Company,Oklahoma City, OK
Uroboros,2039,0.085,44,194,American Stout,12,Anthem Brewing Company,Oklahoma City, OK
Long Leaf,2511,0.071,75,70,American IPA,16,Appalachian Mountain Brewery,Boone, NC
Honey Badger Blonde,2510,0.047,19,70,American Blonde Ale,16,Appalachian Mountain Brewery,Boone, NC
Porter (a/k/a Black Gold Porter),2509,0.06,23,70,American Porter,16,Appalachian Mountain Brewery,Boone, NC
Sky High Rye,413,0.06,55,542,American Pale Ale (APA),12,Arcadia Brewing Company,Battle Creek, MI
Whitsun,390,0.062,17,542,American Pale Wheat Ale,12,Arcadia Brewing Company,Battle Creek, MI
On-On Ale (2008),735,0.052,,514,American Pale Ale (APA),12,Arctic Craft Brewery,Colorado Springs, CO
Quakertown Stout,1333,0.092,50,427,American Double / Imperial Stout,12,Armadillo Ale Works,Denton, TX
Greenbelt Farmhouse Ale,1332,0.051,20,427,Saison / Farmhouse Ale,12,Armadillo Ale Works,Denton, TX
Mo's Gose,1172,0.052,10,462,Gose,16,Armstrong Brewing Company,South San Francisco, CA
Green Bullet Organic India Pale Ale,1322,0.07,45,430,American IPA,16,Asher Brewing Company,Boulder, CO
Rocket Girl,550,0.032,27,529,Kölsch,12,Asheville Brewing Company,Asheville, NC
Ninja Porter,429,0.053,26,529,American Porter,12,Asheville Brewing Company,Asheville, NC
Shiva IPA,428,0.06,69,529,American IPA,12,Asheville Brewing Company,Asheville, NC
Aslan Kölsch,1640,0.048,20,354,Kölsch,16,Aslan Brewing Company,Bellingham, WA
Aslan IPA,1639,0.077,,354,American IPA,16,Aslan Brewing Company,Bellingham, WA
Aslan Amber,1638,0.077,,354,American Amber / Red Ale,16,Aslan Brewing Company,Bellingham, WA
This Season's Blonde,597,0.056,27,524,American Blonde Ale,12,Aspen Brewing Company,Aspen, CO
Independence Pass Ale,596,0.07,67,524,American IPA,12,Aspen Brewing Company,Aspen, CO
Trolley Stop Stout,1580,0.057,40,375,American Stout,12,Astoria Brewing Company,Astoria, OR
Bitter Bitch Imperial IPA,980,0.082,138,375,American Double / Imperial IPA,12,Astoria Brewing Company,Astoria, OR
Poop Deck Porter,979,0.062,35,375,American Porter,12,Astoria Brewing Company,Astoria, OR
Old Red Beard Amber Ale,978,0.06,35,375,American Amber / Red Ale,12,Astoria Brewing Company,Astoria, OR
Hop A-Peel,2503,0.075,115,73,American Double / Imperial IPA,16,Atwater Brewery,Detroit, MI
Vanilla Java Porter,2502,0.055,12,73,American Porter,16,Atwater Brewery,Detroit, MI
Michelada,2495,0.052,,73,Fruit / Vegetable Beer,16,Atwater Brewery,Detroit, MI
Dirty Blonde Ale,534,0.045,8,73,American Blonde Ale,12,Atwater Brewery,Detroit, MI
Grand Circus IPA,528,0.05,62,73,American IPA,12,Atwater Brewery,Detroit, MI
Atwater's Lager,527,0.05,12,73,Munich Helles Lager,12,Atwater Brewery,Detroit, MI
Heavy Machinery IPA Series #1: Heavy Fist,1409,0.07,,414,American Black Ale,16,Austin Beerworks,Austin, TX
Fire Eagle IPA,343,0.062,,414,American IPA,12,Austin Beerworks,Austin, TX
Peacemaker,342,0.051,15,414,American Pale Ale (APA),12,Austin Beerworks,Austin, TX
Pearl-Snap,341,0.053,27,414,German Pilsener,12,Austin Beerworks,Austin, TX
Black Thunder,340,0.052,45,414,Schwarzbier,12,Austin Beerworks,Austin, TX
Raja,2589,0.08,70,38,American Double / Imperial IPA,12,Avery Brewing Company,Boulder, CO
Perzik Saison,2546,0.064,20,38,Saison / Farmhouse Ale,12,Avery Brewing Company,Boulder, CO
Avery JoeÃ¢â‚¬â„¢s Premium American Pilsner,146,0.047,42,38,German Pilsener,12,Avery Brewing Company,Boulder, CO
White Rascal,108,0.056,10,38,Witbier,12,Avery Brewing Company,Boulder, CO
Avery India Pale Ale,107,0.063,69,38,American IPA,12,Avery Brewing Company,Boulder, CO
EllieÃ¢â‚¬â„¢s Brown Ale,106,0.055,17,38,American Brown Ale,12,Avery Brewing Company,Boulder, CO
Pumpkin Beast,1620,0.062,17,361,Pumpkin Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
OktoberBeast,1579,0.072,22,361,Märzen / Oktoberfest,12,Aviator Brewing Company,Fuquay-Varina, NC
Mad Beach,1228,0.048,23,361,American Pale Wheat Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
Hog Wild India Pale Ale,705,0.067,,361,American IPA,12,Aviator Brewing Company,Fuquay-Varina, NC
Devils Tramping Ground Tripel,704,0.092,5,361,Tripel,12,Aviator Brewing Company,Fuquay-Varina, NC
Hot Rod Red,702,0.061,41,361,American Amber / Red Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
Palate Mallet,2058,0.086,90,236,American Double / Imperial IPA,12,Back East Brewing Company,Bloomfield, CT
Back East Porter,1483,0.06,,236,American Porter,12,Back East Brewing Company,Bloomfield, CT
Back East Golden Ale,1426,0.049,,236,American Blonde Ale,12,Back East Brewing Company,Bloomfield, CT
Misty Mountain IPA,1132,0.07,,236,American IPA,12,Back East Brewing Company,Bloomfield, CT
Back East Ale,1131,0.05,,236,American Amber / Red Ale,12,Back East Brewing Company,Bloomfield, CT
Truck Stop Honey Brown Ale,1876,0.06,14,287,English Brown Ale,12,Back Forty Beer Company,Gadsden, AL
Naked Pig Pale Ale,1875,0.06,43,287,American Pale Ale (APA),12,Back Forty Beer Company,Gadsden, AL
Topcutter India Pale Ale,966,0.068,70,484,American IPA,12,Bale Breaker Brewing Company,Yakima, WA
Field 41 Pale Ale,965,0.044,38,484,American Pale Ale (APA),12,Bale Breaker Brewing Company,Yakima, WA
Grapefruit Sculpin,2593,0.07,70,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA
Even Keel,2105,0.038,40,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA
Ballast Point Pale Ale,1401,0.052,23,35,Kölsch,12,Ballast Point Brewing Company,San Diego, CA
Big Eye India Pale Ale,1400,0.07,75,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA
Longfin Lager,1019,0.046,17,35,Munich Helles Lager,12,Ballast Point Brewing Company,San Diego, CA
Sculpin IPA,1018,0.07,70,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA
All Nighter Ale,1776,0.045,,319,Extra Special / Strong Bitter (ESB),12,Banner Beer Company,Williamsburg, MA
Banner American Rye,1644,0.045,20,319,Rye Beer,12,Banner Beer Company,Williamsburg, MA
Banner American Ale,1643,0.035,45,319,American Amber / Red Ale,12,Banner Beer Company,Williamsburg, MA
Thai.p.a,2618,0.07,46,21,American IPA,16,Bare Hands Brewery,Granger, IN
Barrio Blanco,2005,0.06,60,252,American IPA,12,Barrio Brewing Company,Tucson, AZ
Barrio Tucson Blonde,1343,0.045,14,252,American Blonde Ale,12,Barrio Brewing Company,Tucson, AZ
Hop in the Ã¢â‚¬ËœPool Helles,2404,0.049,22,117,American Pilsner,12,Base Camp Brewing Co.,Portland, OR
Ultra Gnar Gnar IPA,2323,0.067,60,117,American IPA,12,Base Camp Brewing Co.,Portland, OR
In-Tents India Pale Lager,2189,0.068,62,117,American Pale Lager,12,Base Camp Brewing Co.,Portland, OR
Lost Meridian Wit,2188,0.05,20,117,Witbier,12,Base Camp Brewing Co.,Portland, OR
Celestial Meridian Cascadian Dark Lager,2187,0.051,45,117,Euro Dark Lager,12,Base Camp Brewing Co.,Portland, OR
Wagon Party,1966,0.054,55,259,California Common / Steam Beer,12,Bauhaus Brew Labs,Minneapolis, MN
Sky-Five,1965,0.067,70,259,American IPA,12,Bauhaus Brew Labs,Minneapolis, MN
Stargrazer,1964,0.05,28,259,Schwarzbier,12,Bauhaus Brew Labs,Minneapolis, MN
Wonderstuff,1963,0.054,48,259,German Pilsener,12,Bauhaus Brew Labs,Minneapolis, MN
Tarnation California-Style Lager,1855,0.053,,293,California Common / Steam Beer,12,Baxter Brewing Company,Lewiston, ME
On the Count of 3 (2015),1778,0.07,42,293,Hefeweizen,16,Baxter Brewing Company,Lewiston, ME
Summer Swelter,1209,0.047,,293,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston, ME
Phantom Punch Winter Stout,954,0.068,,293,Foreign / Export Stout,12,Baxter Brewing Company,Lewiston, ME
Hayride Autumn Ale,910,0.066,,293,Rye Beer,12,Baxter Brewing Company,Lewiston, ME
Celsius Summer Ale (2012),707,0.047,,293,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston, ME
Amber Road,533,0.055,35,293,American Amber / Red Ale,12,Baxter Brewing Company,Lewiston, ME
Pamola Xtra Pale Ale,183,0.049,28,293,American Pale Ale (APA),12,Baxter Brewing Company,Lewiston, ME
Stowaway IPA,182,0.069,69,293,American IPA,12,Baxter Brewing Company,Lewiston, ME
Hoptopus Double IPA,1806,0.088,108,307,American Double / Imperial IPA,16,Beach Brewing Company,Virginia Beach, VA
Watermelon Ale,2435,0.05,10,104,Fruit / Vegetable Beer,12,Beer Works Brewery,Lowell, MA
Fenway American Pale Ale,2423,0.058,45,104,American Pale Ale (APA),12,Beer Works Brewery,Lowell, MA
Back Bay IPA,2420,0.068,85,104,American IPA,12,Beer Works Brewery,Lowell, MA
Bunker Hill Blueberry Ale,2419,0.048,16,104,Other,12,Beer Works Brewery,Lowell, MA
Oberon,2494,0.058,10,77,American Pale Wheat Ale,12,Bell's Brewery,Kalamazoo, MI
Smitten,2325,0.06,50,77,Rye Beer,16,Bell's Brewery,Kalamazoo, MI
Winter White,2022,0.05,,77,Witbier,16,Bell's Brewery,Kalamazoo, MI
Oberon,1989,0.058,10,77,American Pale Wheat Ale,16,Bell's Brewery,Kalamazoo, MI
Two Hearted,1988,0.07,55,77,American IPA,16,Bell's Brewery,Kalamazoo, MI
Best Brown,1955,0.058,34,77,American Brown Ale,16,Bell's Brewery,Kalamazoo, MI
Moar,2558,0.044,44,54,English India Pale Ale (IPA),12,Bent Brewstillery,Roseville, MN
Uber Lupin Schwarz IPA,2557,0.083,,54,American Double / Imperial IPA,16,Bent Brewstillery,Roseville, MN
Nordic Blonde,2556,0.057,27,54,American Blonde Ale,12,Bent Brewstillery,Roseville, MN
Cold Press,2496,0.06,35,76,American Black Ale,12,Bent Paddle Brewing Company,Duluth, MN
Harness the Winter,2410,0.072,87,76,American IPA,12,Bent Paddle Brewing Company,Duluth, MN
14Ã‚Â° ESB,1902,0.056,32,76,Extra Special / Strong Bitter (ESB),12,Bent Paddle Brewing Company,Duluth, MN
Bent Hop Golden IPA,1901,0.062,68,76,American IPA,12,Bent Paddle Brewing Company,Duluth, MN
Bent Paddle Black Ale,1261,0.06,34,76,American Black Ale,12,Bent Paddle Brewing Company,Duluth, MN
Venture Pils,1253,0.05,38,76,German Pilsener,12,Bent Paddle Brewing Company,Duluth, MN
Lost Sailor IPA,1900,0.055,40,279,English India Pale Ale (IPA),12,Berkshire Brewing Company,South Deerfield, MA
Steel Rail Extra Pale Ale,1317,0.053,20,279,American Pale Ale (APA),12,Berkshire Brewing Company,South Deerfield, MA
La Frontera Premium IPA,1158,0.078,,464,American IPA,12,Big Bend Brewing Company,Alpine, TX
Tejas Lager,1157,0.047,17,464,Czech Pilsener,12,Big Bend Brewing Company,Alpine, TX
Number 22 Porter,1156,0.064,28,464,American Porter,12,Big Bend Brewing Company,Alpine, TX
Big Bend Hefeweizen,1155,0.056,12,464,Hefeweizen,12,Big Bend Brewing Company,Alpine, TX
Terlingua Gold,1154,0.06,,464,American Blonde Ale,12,Big Bend Brewing Company,Alpine, TX
AprÃƒÂ¨ Shred,2104,0.081,17,221,American Strong Ale,16,Big Choice Brewing,Broomfield, CO
Hemlock Double IPA,1762,0.095,104,221,American Double / Imperial IPA,12,Big Choice Brewing,Broomfield, CO
West Portal Colorado Common Summer Ale,1422,0.041,,221,California Common / Steam Beer,16,Big Choice Brewing,Broomfield, CO
Disconnected Red,1067,0.067,85,221,American Amber / Red Ale,16,Big Choice Brewing,Broomfield, CO
Big Elm IPA,1003,0.07,,478,American IPA,12,Big Elm Brewing,Sheffield, MA
Gerry Dog Stout,1002,0.065,,478,American Stout,12,Big Elm Brewing,Sheffield, MA
413 Farmhouse Ale,1001,0.06,,478,Saison / Farmhouse Ale,12,Big Elm Brewing,Sheffield, MA
Dark Star,2639,0.08,54,9,American Stout,16,Big Lake Brewing,Holland, MI
Ryecoe,2469,0.062,54,9,American IPA,16,Big Lake Brewing,Holland, MI
Blueberry Blonde,2586,0.06,10,41,Fruit / Vegetable Beer,12,Big Muddy Brewing,Murphysboro, IL
Galaxy IPA,2585,0.075,60,41,American IPA,16,Big Muddy Brewing,Murphysboro, IL
Big River Pilsner,643,0.05,32,520,Czech Pilsener,12,Big River Brewing Company,Chattanooga, TN
House Brand IPA,632,0.06,55,520,American IPA,12,Big River Brewing Company,Chattanooga, TN
Big Sky IPA,1714,0.062,65,337,American IPA,12,Big Sky Brewing Company,Missoula, MT
Scape Goat Pale Ale,1713,0.05,40,337,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT
Montana Trout Slayer Ale,1712,0.05,35,337,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
Moose Drool Brown Ale,1711,0.051,26,337,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
Powder Hound Winter Ale,1456,0.072,60,337,English Strong Ale,12,Big Sky Brewing Company,Missoula, MT
Moose Drool Brown Ale (2011),767,0.051,26,337,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
Montana Trout Slayer Ale (2012),766,0.05,35,337,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
Big Sky IPA (2012),579,0.062,65,337,American IPA,12,Big Sky Brewing Company,Missoula, MT
Summer Honey,168,0.047,,337,American Blonde Ale,12,Big Sky Brewing Company,Missoula, MT
Scape Goat Pale Ale (2010),159,0.05,40,337,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT
Montana Trout Slayer Ale (2009),35,0.05,35,337,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
Moose Drool Brown Ale (2009),34,0.051,26,337,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
Arcus IPA,2096,0.069,81,222,American IPA,12,Big Storm Brewing Company,Odessa, FL
Wavemaker,2095,0.058,38,222,American Amber / Red Ale,12,Big Storm Brewing Company,Odessa, FL
Jack Pine Savage,1257,0.053,43,445,American Pale Ale (APA),16,Big Wood Brewery,Vadnais Heights, MN
Forest Fire Imperial Smoked Rye,1256,0.099,85,445,Rye Beer,16,Big Wood Brewery,Vadnais Heights, MN
Bad Axe Imperial IPA,1255,0.098,76,445,American Double / Imperial IPA,16,Big Wood Brewery,Vadnais Heights, MN
Morning Wood,986,0.055,35,445,Oatmeal Stout,16,Big Wood Brewery,Vadnais Heights, MN
Bark Bite IPA,985,0.066,50,445,American IPA,16,Big Wood Brewery,Vadnais Heights, MN
